"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1406","test_contact_is_visible_in_list","tests","2026-09-23","passed","2026-09-23","","test_contacts_page","",""
"","5630","test_add_contact_negative[Ivan-Ivanov-0501234567--Tel Aviv-desc-Email not valid: must be a well-formed email address]","tests","2026-09-23","skipped","2026-09-23","","test_add_contact","",""
"","197","test_api_add_contact","api_tests","2026-09-23","passed","2026-09-23","","test_api_add_contact","",""
"Позитивный тест: Успешная авторизация с валидными данными","1580","test_login_success","tests","2026-09-23","passed","2026-09-23","","test_login","",""
"Негативные тесты: Авторизация с неверными данными","2227","test_login_negative[invalid_email-Невалидный формат email]","tests","2026-09-23","passed","2026-09-23","","test_login","",""
"","5883","test_add_contact_negative[Ivan-Ivanov-0501234567-test@mail.com--desc-Address cannot be empty!]","tests","2026-09-23","skipped","2026-09-23","","test_add_contact","",""
"","1534","test_edit_contact_clear_required_fields[phone]","tests","2026-09-23","skipped","2026-09-23","","test_edit_contact","",""
"","1666","test_delete_contact","tests","2026-09-23","passed","2026-09-23","","test_delete_contact","",""
"Проверка: Авторизованный пользователь может успешно выйти из системы.","95","test_logout_success","tests","2026-09-23","passed","2026-09-23","TestLogout","test_logout","",""
"Тест массового удаления контактов (Пылесос)","0","test_api_clear_all_contacts","api_tests","2026-09-23","skipped","2026-09-23","","test_api_delete","",""
"","1481","test_edit_contact_clear_required_fields[address]","tests","2026-09-23","skipped","2026-09-23","","test_edit_contact","",""
"","3428","test_edit_contact_duplicate_phone","tests","2026-09-23","skipped","2026-09-23","","test_edit_contact","",""
"","5634","test_add_contact_negative[-Ivanov-0501234567-test@mail.com-Tel Aviv-desc-Name cannot be empty!]","tests","2026-09-23","skipped","2026-09-23","","test_add_contact","",""
"Негативные тесты: Авторизация с неверными данными","1099","test_login_negative[unregistered-Несуществующий пользователь]","tests","2026-09-23","passed","2026-09-23","","test_login","",""
"Негативные тесты: Регистрация с неверными данными или существующим email","1695","test_registration_negative[invalid_email-Wrong email or password format-Невалидный формат email]","tests","2026-09-23","passed","2026-09-23","","test_login","",""
"Негативные тесты: Регистрация с неверными данными или существующим email","2064","test_registration_negative[existing_user-User already exist-Регистрация уже существующего пользователя]","tests","2026-09-23","passed","2026-09-23","","test_login","",""
"Скрипт-утилита: Полное очищение списка контактов через UI","0","test_delete_all_contacts","tests","2026-09-23","skipped","2026-09-23","","test_delete_contact","",""
"","1311","test_add_contact_negative[Ivan-Ivanov--test@mail.com-Tel Aviv-desc-Phone not valid: Phone number must contain only digits! And length min 10, max 15!]","tests","2026-09-23","passed","2026-09-23","","test_add_contact","",""
"Тест получения списка контактов (Read)","595","test_api_get_all_contacts","api_tests","2026-09-23","passed","2026-09-23","","test_api_contacts","",""
"","1266","test_add_contact_negative[Ivan-Ivanov-0501234567-not-an-email-Tel Aviv-desc-Email not valid: must be a well-formed email address]","tests","2026-09-23","passed","2026-09-23","","test_add_contact","",""
"","1147","test_edit_contact_clear_required_fields[last_name]","tests","2026-09-23","skipped","2026-09-23","","test_edit_contact","",""
"Проверка последовательного удаления нескольких конкретных контактов","2501","test_delete_multiple_contacts","tests","2026-09-23","passed","2026-09-23","","test_delete_contact","",""
"","953","test_add_contact_negative[Ivan-Ivanov-abcdefghij-test@mail.com-Tel Aviv-desc-Phone not valid: Phone number must contain only digits! And length min 10, max 15!]","tests","2026-09-23","passed","2026-09-23","","test_add_contact","",""
"","2031","test_duplicate_contact_cards_count","tests","2026-09-23","skipped","2026-09-23","","test_contacts_page","",""
"Тест обновления существующего контакта (Update)","1090","test_api_update_contact","api_tests","2026-09-23","passed","2026-09-23","","test_api_contacts","",""
"","1111","test_add_contact_success_all_fields","tests","2026-09-23","passed","2026-09-23","","test_add_contact","",""
"Позитивный тест: Успешная регистрация нового пользователя","1900","test_registration_success","tests","2026-09-23","passed","2026-09-23","","test_login","",""
"Тест успешной авторизации через API и получения токена","288","test_api_login_success","api_tests","2026-09-23","passed","2026-09-23","","test_api_login","",""
"Негативные тесты: Регистрация с неверными данными или существующим email","1361","test_registration_negative[invalid_password-Wrong email or password format-Невалидный формат пароля]","tests","2026-09-23","passed","2026-09-23","","test_login","",""
"","2007","test_edit_contact_clear_required_fields[name]","tests","2026-09-23","skipped","2026-09-23","","test_edit_contact","",""
"Проверка безопасности: Неавторизованный пользователь не может открыть страницу /contacts.","663","test_logout_security_redirect","tests","2026-09-23","passed","2026-09-23","TestLogout","test_logout","",""
"Негативные тесты: Авторизация с неверными данными","2062","test_login_negative[invalid_password-Валидный email, но невалидный пароль]","tests","2026-09-23","passed","2026-09-23","","test_login","",""
"Тест удаления конкретного контакта (Delete)","1178","test_api_delete_contact","api_tests","2026-09-23","passed","2026-09-23","","test_api_delete","",""
"","4504","test_edit_contact_positive","tests","2026-09-23","passed","2026-09-23","","test_edit_contact","",""
"","926","test_add_contact_negative[Ivan-Ivanov-050123-test@mail.com-Tel Aviv-desc-Phone not valid: Phone number must contain only digits! And length min 10, max 15!]","tests","2026-09-23","passed","2026-09-23","","test_add_contact","",""
"","5859","test_add_contact_negative[Ivan--0501234567-test@mail.com-Tel Aviv-desc-Last Name cannot be empty!]","tests","2026-09-23","skipped","2026-09-23","","test_add_contact","",""
"","595","test_pw_login_success[chromium]","tests","2026-09-23","passed","2026-09-23","","test_playwright_login","",""
"","1605","test_edit_contact_clear_required_fields[email]","tests","2026-09-23","skipped","2026-09-23","","test_edit_contact","",""
"","6897","test_add_contact_duplicate_phone","tests","2026-09-23","skipped","2026-09-23","","test_add_contact","",""
"Негативный тест: Создание контакта без обязательного поля (name)","184","test_api_add_contact_missing_required_field","api_tests","2026-09-23","passed","2026-09-23","","test_api_add_contact","",""
"","2283","test_open_contact_details","tests","2026-09-23","passed","2026-09-23","","test_contacts_page","",""
"Негативный тест: Попытка создать дубликат контакта","432","test_api_add_contact_duplicate","api_tests","2026-09-23","skipped","2026-09-23","","test_api_add_contact","",""
